_id,temperature,humidity,soil_moisture,ph,N,P,K,createdAt,updatedAt,__v
64424585fdd827481d3babdf,2147483647,2147483647,100,0.04,255,255,255,2023-04-21 08:12:53.443,2023-04-21 08:12:53.443,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
644249a594258f754c15dcf0,2147483647,2147483647,100,0.03,255,255,255,2023-04-21 08:30:29.405,2023-04-21 08:30:29.405,0
